Bee species	Flower genus	Flower species	Flower family	Females	Males
	Brachychiton	populneum	Malvaceae	1	
	Eremophila	deserti	Scrophulariaceae	13	
	Eucalyptus	dumosa	Myrtaceae	2	1
	Eucalyptus		Myrtaceae	5	
	Leptospermum		Myrtaceae	1	
Lasioglossum (Chilalictus) gynochilum					
	Wahlenbergia		Campanulaceae	13	47
Lasioglossum (Chilalictus) helichrysi					
	Acacia	oswaldi	Fabaceae	2	
	Calotis	cuneifolia	Asteraceae	1	
	Calotis	erinacea	Asteraceae	2	
	Calotis		Asteraceae	1	
	Craspedia	haplorrhiza	Asteraceae	6	
	Daviesia	leptophylla	Fabaceae	1	
	Disphyma	crassifolium	Aizoaceae	2	
	Eremophila	deserti	Scrophulariaceae	3	4
	Eucalyptus	albens	Myrtaceae	1	1
	Eucalyptus	dumosa	Myrtaceae	1	
	Eucalyptus	socialis	Myrtaceae	1	
	Coronidium	scorpioides	Fabaceae	1	
	Melaleuca	decussata	Myrtaceae	1	5
	Melaleuca	uncinata	Myrtaceae	1	
	Polycalymma	stuartii	Asteraceae	3	
	Pultenaea	boormanii	Fabaceae	2	
	Pultenaea	foliolosa	Fabaceae	1	
	Pultenaea	procumbens	Fabaceae	2	
	Reichardia	tingitana	Asteraceae	2	
	Taraxacum	officinale	Asteraceae	1	
	Wahlenbergia		Campanulaceae	10	1
	Xerochrysum	bracteatum	Asteraceae	1	
Lasioglossum (Chilalictus) hemichalceum					
	Acacia	buxifolia	Fabaceae	1	
	Acacia	johnsonii	Fabaceae	7	
	Acacia	rubida	Fabaceae	10	
	Acacia		Fabaceae	7	
	Callistemon	citrinus	Myrtaceae	1	
	Callistemon		Myrtaceae	2	
	Calytrix	tetragona	Myrtaceae	5	
	Daviesia	leptophylla	Fabaceae	1	
	Daviesia		Fabaceae	1	
	Eremophila	interstans	Scrophulariaceae	2	
	Eremophila	longifolia	Scrophulariaceae	1	
	Eremophila	scoparia	Scrophulariaceae	3	
	Eremophila		Scrophulariaceae	1	
	Eremophila	sturtii	Scrophulariaceae	3	
	Eucalyptus		Myrtaceae	1	
	Eucalyptus	calycogona	Myrtaceae	1	
	Eucalyptus	leucoxylon	Myrtaceae	3	1
	Eucalyptus		Myrtaceae	7	
	Eucalyptus		Myrtaceae	1	
	Eucalyptus	yalatensis	Myrtaceae	4	
	Leucopogon	lanceolatus	Ericaceae	6	
	Melaleuca	decussata	Myrtaceae	2	
	Melaleuca	nodosa	Myrtaceae	3	
	Melaleuca		Myrtaceae	12	2
	Myoporum		Scrophulariaceae	1	
	Thelionema	caespitosum	Hemerocallidaceae	1	
	Westringia	rigida	Lamiaceae	4	
	Xanthorrhoea	media	Xanthorrhoeaceae	1	
Lasioglossum (Chilalictus) humei					
	Taraxacum	officinale	Asteraceae	3	
	Calotis	cuneifolia	Asteraceae	3	
	Wahlenbergia		Campanulaceae	11	5
	Xerochrysum	bracteatum	Asteraceae	2	
Lasioglossum (Chilalictus) imitans					
	Mirbelia	rubiifolia	Fabaceae	2	
	Sphaerolobium	minus	Fabaceae	1	
	Stylidium		Stylidiaceae	1	
	Wahlenbergia		Campanulaceae	2	
Lasioglossum (Chilalictus) immaculatum					
	Eremophila	maculata	Scrophulariaceae	3	3
	Grevillea	juncifolia	Proteaceae	1	1
Lasioglossum (Chilalictus) impunctatum					
	Eremophila	scoparia	Scrophulariaceae	1	
	Olearia		Asteraceae	3	
	Westringia	rigida	Lamiaceae	1	
Lasioglossum (Chilalictus) instabilis					
	Bursaria	spinosa	Pittosporaceae	1	
	Chloanthes	parviflora	Lamiaceae	1	
	Epacris	microphylla	Ericaceae	1	
	Grevillea	sericea	Proteaceae		2
	Hardenbergia	violacea	Fabaceae	1	
	Hibbertia	acuminata	Dilleniaceae	2	
	Hibbertia		Dilleniaceae	1	
	Lambertia	formosa	Proteaceae	1	
	Monotoca	scoparia	Ericaceae		1
	Pultenaea	microphylla	Fabaceae	1	
	Pultenaea	tuberculata	Fabaceae	1	
	Stylidium	productum	Stylidiaceae	2	
Lasioglossum (Chilalictus) lanarium					
	Taraxacum	officinale	Asteraceae	2	3
	Baeckea	brevifolia	Myrtaceae		1
	Brachycome		Asteraceae		1
	Calotis	cuneifolia	Asteraceae	3	
	Frankenia		Frankeniaceae	1	
	Hibbertia		Dilleniaceae	1	
	Melaleuca		Myrtaceae	2	
	Microseris	lanceolata	Asteraceae		1
	Philotheca	salsolifolia	Rutaceae	1	
	Podolepis		Asteraceae	1	1
	Pultenaea	microphylla	Fabaceae	1	1
	Pultenaea	procumbens	Fabaceae	2	
	Ranunculus		Ranunculaceae		1
	Senecio	lautus	Asteraceae	1	
	Stylidium		Stylidiaceae		1
